account,block,metric,dimension,value
tedxutokyo,posting_frequency,monthly_posts,2025-07,3
tedxutokyo,posting_frequency,monthly_posts,2025-08,9
tedxutokyo,posting_frequency,monthly_posts,2025-10,6
tedxutokyo,posting_frequency,monthly_posts,2025-11,15
tedxutokyo,posting_frequency,monthly_posts,2025-12,1
tedxutokyo,posting_frequency,monthly_posts,2026-01,11
tedxutokyo,posting_frequency,monthly_posts,2026-02,1
tedxutokyo,posting_frequency,monthly_posts,2026-03,45
tedxutokyo,posting_frequency,monthly_posts,2026-04,84
tedxutokyo,posting_frequency,monthly_posts,2026-05,1
tedxkyoto,overview,followers,—,2105
tedxkyoto,overview,total_posts,—,398
tedxkyoto,overview,analyzed_posts,—,200
tedxkyoto,overview,avg_engagement_rate,—,1.49
tedxkyoto,overview,avg_likes,—,30.79
tedxkyoto,overview,avg_comments,—,0.53
tedxkyoto,overview,avg_engagement,—,31.32
tedxkyoto,overview,max_single_post_engagement,—,281
tedxkyoto,overview,comment_like_ratio,—,1.72
tedxkyoto,post_type,post_count,photo,172
tedxkyoto,post_type,share(%),photo,86.0
tedxkyoto,post_type,avg_engagement_rate(%),photo,1.43
tedxkyoto,post_type,avg_engagement,photo,30.01
tedxkyoto,post_type,post_count,GraphSidecar,25
tedxkyoto,post_type,share(%),GraphSidecar,12.5
tedxkyoto,post_type,avg_engagement_rate(%),GraphSidecar,1.79
tedxkyoto,post_type,avg_engagement,GraphSidecar,37.64
tedxkyoto,post_type,post_count,Reel,3
tedxkyoto,post_type,share(%),Reel,1.5
tedxkyoto,post_type,avg_engagement_rate(%),Reel,2.55
tedxkyoto,post_type,avg_engagement,Reel,53.67
tedxkyoto,weekday,post_count,Mon,22
tedxkyoto,weekday,avg_engagement_rate(%),Mon,1.35
tedxkyoto,weekday,post_count,Tue,31
tedxkyoto,weekday,avg_engagement_rate(%),Tue,1.95
tedxkyoto,weekday,post_count,Wed,17
tedxkyoto,weekday,avg_engagement_rate(%),Wed,1.18
tedxkyoto,weekday,post_count,Thu,21
tedxkyoto,weekday,avg_engagement_rate(%),Thu,1.27
tedxkyoto,weekday,post_count,Fri,33
tedxkyoto,weekday,avg_engagement_rate(%),Fri,1.49
tedxkyoto,weekday,post_count,Sat,30
tedxkyoto,weekday,avg_engagement_rate(%),Sat,1.24
tedxkyoto,weekday,post_count,Sun,46
tedxkyoto,weekday,avg_engagement_rate(%),Sun,1.62
tedxkyoto,time_band,post_count,morning(05-10),0
tedxkyoto,time_band,avg_engagement_rate(%),morning(05-10),0
tedxkyoto,time_band,post_count,midday(11-13),0
tedxkyoto,time_band,avg_engagement_rate(%),midday(11-13),0
tedxkyoto,time_band,post_count,afternoon(14-17),0
tedxkyoto,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxkyoto,time_band,post_count,evening(18-21),0
tedxkyoto,time_band,avg_engagement_rate(%),evening(18-21),0
tedxkyoto,time_band,post_count,night(22-04),0
tedxkyoto,time_band,avg_engagement_rate(%),night(22-04),0
tedxkyoto,posting_frequency,active_months,—,36
tedxkyoto,posting_frequency,avg_posts_per_month,—,5.56
tedxkyoto,posting_frequency,monthly_posts,2016-10,14
tedxkyoto,posting_frequency,monthly_posts,2016-11,16
tedxkyoto,posting_frequency,monthly_posts,2018-06,1
tedxkyoto,posting_frequency,monthly_posts,2018-07,1
tedxkyoto,posting_frequency,monthly_posts,2018-08,10
tedxkyoto,posting_frequency,monthly_posts,2018-09,10
tedxkyoto,posting_frequency,monthly_posts,2018-10,18
tedxkyoto,posting_frequency,monthly_posts,2018-11,27
tedxkyoto,posting_frequency,monthly_posts,2018-12,11
tedxkyoto,posting_frequency,monthly_posts,2019-01,3
tedxkyoto,posting_frequency,monthly_posts,2019-03,1
tedxkyoto,posting_frequency,monthly_posts,2019-06,1
tedxkyoto,posting_frequency,monthly_posts,2019-11,8
tedxkyoto,posting_frequency,monthly_posts,2019-12,2
tedxkyoto,posting_frequency,monthly_posts,2020-01,3
tedxkyoto,posting_frequency,monthly_posts,2020-02,7
tedxkyoto,posting_frequency,monthly_posts,2020-03,1
tedxkyoto,posting_frequency,monthly_posts,2020-09,1
tedxkyoto,posting_frequency,monthly_posts,2021-04,1
tedxkyoto,posting_frequency,monthly_posts,2021-10,1
tedxkyoto,posting_frequency,monthly_posts,2021-11,2
tedxkyoto,posting_frequency,monthly_posts,2021-12,1
tedxkyoto,posting_frequency,monthly_posts,2022-01,3
tedxkyoto,posting_frequency,monthly_posts,2022-02,1
tedxkyoto,posting_frequency,monthly_posts,2022-04,1
tedxkyoto,posting_frequency,monthly_posts,2022-09,1
tedxkyoto,posting_frequency,monthly_posts,2022-10,2
tedxkyoto,posting_frequency,monthly_posts,2022-12,4
tedxkyoto,posting_frequency,monthly_posts,2023-01,3
tedxkyoto,posting_frequency,monthly_posts,2023-02,20
tedxkyoto,posting_frequency,monthly_posts,2023-03,18
tedxkyoto,posting_frequency,monthly_posts,2023-08,1
tedxkyoto,posting_frequency,monthly_posts,2025-06,2
tedxkyoto,posting_frequency,monthly_posts,2025-07,2
tedxkyoto,posting_frequency,monthly_posts,2026-03,1
tedxkyoto,posting_frequency,monthly_posts,2026-04,1
tedxkeiou,overview,followers,—,1644
tedxkeiou,overview,total_posts,—,255
tedxkeiou,overview,analyzed_posts,—,200
tedxkeiou,overview,avg_engagement_rate,—,1.15
tedxkeiou,overview,avg_likes,—,18.89
tedxkeiou,overview,avg_comments,—,0
tedxkeiou,overview,avg_engagement,—,18.89
tedxkeiou,overview,max_single_post_engagement,—,239
tedxkeiou,overview,comment_like_ratio,—,0.0
tedxkeiou,post_type,post_count,photo,104
tedxkeiou,post_type,share(%),photo,52.0
tedxkeiou,post_type,avg_engagement_rate(%),photo,0.9
tedxkeiou,post_type,avg_engagement,photo,14.8
tedxkeiou,post_type,post_count,GraphSidecar,90
tedxkeiou,post_type,share(%),GraphSidecar,45.0
tedxkeiou,post_type,avg_engagement_rate(%),GraphSidecar,1.38
tedxkeiou,post_type,avg_engagement,GraphSidecar,22.69
tedxkeiou,post_type,post_count,Reel,6
tedxkeiou,post_type,share(%),Reel,3.0
tedxkeiou,post_type,avg_engagement_rate(%),Reel,1.99
tedxkeiou,post_type,avg_engagement,Reel,32.67
tedxkeiou,weekday,post_count,Mon,23
tedxkeiou,weekday,avg_engagement_rate(%),Mon,1.13
tedxkeiou,weekday,post_count,Tue,37
tedxkeiou,weekday,avg_engagement_rate(%),Tue,0.68
tedxkeiou,weekday,post_count,Wed,23
tedxkeiou,weekday,avg_engagement_rate(%),Wed,0.91
tedxkeiou,weekday,post_count,Thu,37
tedxkeiou,weekday,avg_engagement_rate(%),Thu,1.69
tedxkeiou,weekday,post_count,Fri,23
tedxkeiou,weekday,avg_engagement_rate(%),Fri,1.05
tedxkeiou,weekday,post_count,Sat,23
tedxkeiou,weekday,avg_engagement_rate(%),Sat,2.14
tedxkeiou,weekday,post_count,Sun,34
tedxkeiou,weekday,avg_engagement_rate(%),Sun,0.65
tedxkeiou,time_band,post_count,morning(05-10),0
tedxkeiou,time_band,avg_engagement_rate(%),morning(05-10),0
tedxkeiou,time_band,post_count,midday(11-13),0
tedxkeiou,time_band,avg_engagement_rate(%),midday(11-13),0
tedxkeiou,time_band,post_count,afternoon(14-17),0
tedxkeiou,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxkeiou,time_band,post_count,evening(18-21),0
tedxkeiou,time_band,avg_engagement_rate(%),evening(18-21),0
tedxkeiou,time_band,post_count,night(22-04),0
tedxkeiou,time_band,avg_engagement_rate(%),night(22-04),0
tedxkeiou,posting_frequency,active_months,—,18
tedxkeiou,posting_frequency,avg_posts_per_month,—,11.11
tedxkeiou,posting_frequency,monthly_posts,2023-06,17
tedxkeiou,posting_frequency,monthly_posts,2023-07,1
tedxkeiou,posting_frequency,monthly_posts,2023-08,8
tedxkeiou,posting_frequency,monthly_posts,2023-10,5
tedxkeiou,posting_frequency,monthly_posts,2023-11,1
tedxkeiou,posting_frequency,monthly_posts,2024-05,12
tedxkeiou,posting_frequency,monthly_posts,2024-06,9
tedxkeiou,posting_frequency,monthly_posts,2024-10,27
tedxkeiou,posting_frequency,monthly_posts,2024-11,3
tedxkeiou,posting_frequency,monthly_posts,2025-04,6
tedxkeiou,posting_frequency,monthly_posts,2025-05,27
tedxkeiou,posting_frequency,monthly_posts,2025-07,6
tedxkeiou,posting_frequency,monthly_posts,2025-10,3
tedxkeiou,posting_frequency,monthly_posts,2025-11,18
tedxkeiou,posting_frequency,monthly_posts,2025-12,12
tedxkeiou,posting_frequency,monthly_posts,2026-03,3
tedxkeiou,posting_frequency,monthly_posts,2026-04,21
tedxkeiou,posting_frequency,monthly_posts,2026-05,21
tedxwasedau,overview,followers,—,3141
tedxwasedau,overview,total_posts,—,608
tedxwasedau,overview,analyzed_posts,—,200
tedxwasedau,overview,avg_engagement_rate,—,0.62
tedxwasedau,overview,avg_likes,—,18.55
tedxwasedau,overview,avg_comments,—,0.94
tedxwasedau,overview,avg_engagement,—,19.5
tedxwasedau,overview,max_single_post_engagement,—,394
tedxwasedau,overview,comment_like_ratio,—,5.09
tedxwasedau,post_type,post_count,photo,113
tedxwasedau,post_type,share(%),photo,56.5
tedxwasedau,post_type,avg_engagement_rate(%),photo,0.64
tedxwasedau,post_type,avg_engagement,photo,20.12
tedxwasedau,post_type,post_count,Reel,3
tedxwasedau,post_type,share(%),Reel,1.5
tedxwasedau,post_type,avg_engagement_rate(%),Reel,1.32
tedxwasedau,post_type,avg_engagement,Reel,41.33
tedxwasedau,post_type,post_count,GraphSidecar,84
tedxwasedau,post_type,share(%),GraphSidecar,42.0
tedxwasedau,post_type,avg_engagement_rate(%),GraphSidecar,0.57
tedxwasedau,post_type,avg_engagement,GraphSidecar,17.88
tedxwasedau,weekday,post_count,Mon,32
tedxwasedau,weekday,avg_engagement_rate(%),Mon,0.58
tedxwasedau,weekday,post_count,Tue,3
tedxwasedau,weekday,avg_engagement_rate(%),Tue,0.22
tedxwasedau,weekday,post_count,Wed,40
tedxwasedau,weekday,avg_engagement_rate(%),Wed,0.48
tedxwasedau,weekday,post_count,Thu,36
tedxwasedau,weekday,avg_engagement_rate(%),Thu,0.18
tedxwasedau,weekday,post_count,Fri,38
tedxwasedau,weekday,avg_engagement_rate(%),Fri,1.34
tedxwasedau,weekday,post_count,Sat,34
tedxwasedau,weekday,avg_engagement_rate(%),Sat,0.77
tedxwasedau,weekday,post_count,Sun,17
tedxwasedau,weekday,avg_engagement_rate(%),Sun,0.11
tedxwasedau,time_band,post_count,morning(05-10),0
tedxwasedau,time_band,avg_engagement_rate(%),morning(05-10),0
tedxwasedau,time_band,post_count,midday(11-13),0
tedxwasedau,time_band,avg_engagement_rate(%),midday(11-13),0
tedxwasedau,time_band,post_count,afternoon(14-17),0
tedxwasedau,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxwasedau,time_band,post_count,evening(18-21),0
tedxwasedau,time_band,avg_engagement_rate(%),evening(18-21),0
tedxwasedau,time_band,post_count,night(22-04),0
tedxwasedau,time_band,avg_engagement_rate(%),night(22-04),0
tedxwasedau,posting_frequency,active_months,—,32
tedxwasedau,posting_frequency,avg_posts_per_month,—,6.25
tedxwasedau,posting_frequency,monthly_posts,2022-07,2
tedxwasedau,posting_frequency,monthly_posts,2022-09,5
tedxwasedau,posting_frequency,monthly_posts,2022-10,6
tedxwasedau,posting_frequency,monthly_posts,2022-11,7
tedxwasedau,posting_frequency,monthly_posts,2022-12,9
tedxwasedau,posting_frequency,monthly_posts,2023-01,6
tedxwasedau,posting_frequency,monthly_posts,2023-05,3
tedxwasedau,posting_frequency,monthly_posts,2023-07,9
tedxwasedau,posting_frequency,monthly_posts,2023-09,4
tedxwasedau,posting_frequency,monthly_posts,2023-10,5
tedxwasedau,posting_frequency,monthly_posts,2023-11,12
tedxwasedau,posting_frequency,monthly_posts,2023-12,9
tedxwasedau,posting_frequency,monthly_posts,2024-01,3
tedxwasedau,posting_frequency,monthly_posts,2024-02,3
tedxwasedau,posting_frequency,monthly_posts,2024-04,3
tedxwasedau,posting_frequency,monthly_posts,2024-05,9
tedxwasedau,posting_frequency,monthly_posts,2024-06,6
tedxwasedau,posting_frequency,monthly_posts,2024-07,3
tedxwasedau,posting_frequency,monthly_posts,2024-09,5
tedxwasedau,posting_frequency,monthly_posts,2024-10,4
tedxwasedau,posting_frequency,monthly_posts,2024-11,9
tedxwasedau,posting_frequency,monthly_posts,2024-12,9
tedxwasedau,posting_frequency,monthly_posts,2025-01,3
tedxwasedau,posting_frequency,monthly_posts,2025-02,3
tedxwasedau,posting_frequency,monthly_posts,2025-05,9
tedxwasedau,posting_frequency,monthly_posts,2025-06,15
tedxwasedau,posting_frequency,monthly_posts,2025-09,2
tedxwasedau,posting_frequency,monthly_posts,2025-10,7
tedxwasedau,posting_frequency,monthly_posts,2025-12,15
tedxwasedau,posting_frequency,monthly_posts,2026-01,3
tedxwasedau,posting_frequency,monthly_posts,2026-02,3
tedxwasedau,posting_frequency,monthly_posts,2026-05,9
tedxawaji,overview,followers,—,1178
tedxawaji,overview,total_posts,—,83
tedxawaji,overview,analyzed_posts,—,83
tedxawaji,overview,avg_engagement_rate,—,2.34
tedxawaji,overview,avg_likes,—,27.2
tedxawaji,overview,avg_comments,—,0.4
tedxawaji,overview,avg_engagement,—,27.6
tedxawaji,overview,max_single_post_engagement,—,88
tedxawaji,overview,comment_like_ratio,—,1.46
tedxawaji,post_type,post_count,photo,44
tedxawaji,post_type,share(%),photo,53.0
tedxawaji,post_type,avg_engagement_rate(%),photo,2.04
tedxawaji,post_type,avg_engagement,photo,24.02
tedxawaji,post_type,post_count,GraphSidecar,12
tedxawaji,post_type,share(%),GraphSidecar,14.5
tedxawaji,post_type,avg_engagement_rate(%),GraphSidecar,2.87
tedxawaji,post_type,avg_engagement,GraphSidecar,33.83
tedxawaji,post_type,post_count,Reel,27
tedxawaji,post_type,share(%),Reel,32.5
tedxawaji,post_type,avg_engagement_rate(%),Reel,2.6
tedxawaji,post_type,avg_engagement,Reel,30.67
tedxawaji,weekday,post_count,Mon,18
tedxawaji,weekday,avg_engagement_rate(%),Mon,2.5
tedxawaji,weekday,post_count,Tue,13
tedxawaji,weekday,avg_engagement_rate(%),Tue,2.15
tedxawaji,weekday,post_count,Wed,14
tedxawaji,weekday,avg_engagement_rate(%),Wed,2.53
tedxawaji,weekday,post_count,Thu,11
tedxawaji,weekday,avg_engagement_rate(%),Thu,2.29
tedxawaji,weekday,post_count,Fri,19
tedxawaji,weekday,avg_engagement_rate(%),Fri,2.39
tedxawaji,weekday,post_count,Sat,5
tedxawaji,weekday,avg_engagement_rate(%),Sat,1.85
tedxawaji,weekday,post_count,Sun,3
tedxawaji,weekday,avg_engagement_rate(%),Sun,1.98
tedxawaji,time_band,post_count,morning(05-10),0
tedxawaji,time_band,avg_engagement_rate(%),morning(05-10),0
tedxawaji,time_band,post_count,midday(11-13),0
tedxawaji,time_band,avg_engagement_rate(%),midday(11-13),0
tedxawaji,time_band,post_count,afternoon(14-17),0
tedxawaji,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxawaji,time_band,post_count,evening(18-21),0
tedxawaji,time_band,avg_engagement_rate(%),evening(18-21),0
tedxawaji,time_band,post_count,night(22-04),0
tedxawaji,time_band,avg_engagement_rate(%),night(22-04),0
tedxawaji,posting_frequency,active_months,—,19
tedxawaji,posting_frequency,avg_posts_per_month,—,4.37
tedxawaji,posting_frequency,monthly_posts,2021-10,3
tedxawaji,posting_frequency,monthly_posts,2021-11,9
tedxawaji,posting_frequency,monthly_posts,2021-12,1
tedxawaji,posting_frequency,monthly_posts,2022-09,5
tedxawaji,posting_frequency,monthly_posts,2022-10,6
tedxawaji,posting_frequency,monthly_posts,2022-11,3
tedxawaji,posting_frequency,monthly_posts,2022-12,9
tedxawaji,posting_frequency,monthly_posts,2023-09,4
tedxawaji,posting_frequency,monthly_posts,2023-10,2
tedxawaji,posting_frequency,monthly_posts,2023-11,4
tedxawaji,posting_frequency,monthly_posts,2023-12,5
tedxawaji,posting_frequency,monthly_posts,2024-01,6
tedxawaji,posting_frequency,monthly_posts,2024-07,1
tedxawaji,posting_frequency,monthly_posts,2024-08,1
tedxawaji,posting_frequency,monthly_posts,2025-01,7
tedxawaji,posting_frequency,monthly_posts,2025-02,10
tedxawaji,posting_frequency,monthly_posts,2025-11,2
tedxawaji,posting_frequency,monthly_posts,2025-12,1
tedxawaji,posting_frequency,monthly_posts,2026-05,4
tedxkobe,overview,followers,—,1342
tedxkobe,overview,total_posts,—,324
tedxkobe,overview,analyzed_posts,—,200
tedxkobe,overview,avg_engagement_rate,—,1.63
tedxkobe,overview,avg_likes,—,21.82
tedxkobe,overview,avg_comments,—,0.12
tedxkobe,overview,avg_engagement,—,21.93
tedxkobe,overview,max_single_post_engagement,—,86
tedxkobe,overview,comment_like_ratio,—,0.55
tedxkobe,post_type,post_count,photo,135
tedxkobe,post_type,share(%),photo,67.5
tedxkobe,post_type,avg_engagement_rate(%),photo,1.45
tedxkobe,post_type,avg_engagement,photo,19.46
tedxkobe,post_type,post_count,Reel,52
tedxkobe,post_type,share(%),Reel,26.0
tedxkobe,post_type,avg_engagement_rate(%),Reel,1.83
tedxkobe,post_type,avg_engagement,Reel,24.58
tedxkobe,post_type,post_count,GraphSidecar,13
tedxkobe,post_type,share(%),GraphSidecar,6.5
tedxkobe,post_type,avg_engagement_rate(%),GraphSidecar,2.76
tedxkobe,post_type,avg_engagement,GraphSidecar,37.08
tedxkobe,weekday,post_count,Mon,30
tedxkobe,weekday,avg_engagement_rate(%),Mon,1.54
tedxkobe,weekday,post_count,Tue,24
tedxkobe,weekday,avg_engagement_rate(%),Tue,2.12
tedxkobe,weekday,post_count,Wed,30
tedxkobe,weekday,avg_engagement_rate(%),Wed,1.57
tedxkobe,weekday,post_count,Thu,29
tedxkobe,weekday,avg_engagement_rate(%),Thu,1.69
tedxkobe,weekday,post_count,Fri,35
tedxkobe,weekday,avg_engagement_rate(%),Fri,1.27
tedxkobe,weekday,post_count,Sat,29
tedxkobe,weekday,avg_engagement_rate(%),Sat,1.51
tedxkobe,weekday,post_count,Sun,23
tedxkobe,weekday,avg_engagement_rate(%),Sun,1.98
tedxkobe,time_band,post_count,morning(05-10),0
tedxkobe,time_band,avg_engagement_rate(%),morning(05-10),0
tedxkobe,time_band,post_count,midday(11-13),0
tedxkobe,time_band,avg_engagement_rate(%),midday(11-13),0
tedxkobe,time_band,post_count,afternoon(14-17),0
tedxkobe,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxkobe,time_band,post_count,evening(18-21),0
tedxkobe,time_band,avg_engagement_rate(%),evening(18-21),0
tedxkobe,time_band,post_count,night(22-04),0
tedxkobe,time_band,avg_engagement_rate(%),night(22-04),0
tedxkobe,posting_frequency,active_months,—,34
tedxkobe,posting_frequency,avg_posts_per_month,—,5.88
tedxkobe,posting_frequency,monthly_posts,2022-05,2
tedxkobe,posting_frequency,monthly_posts,2022-06,9
tedxkobe,posting_frequency,monthly_posts,2022-11,1
tedxkobe,posting_frequency,monthly_posts,2022-12,2
tedxkobe,posting_frequency,monthly_posts,2023-01,3
tedxkobe,posting_frequency,monthly_posts,2023-02,2
tedxkobe,posting_frequency,monthly_posts,2023-03,3
tedxkobe,posting_frequency,monthly_posts,2023-04,2
tedxkobe,posting_frequency,monthly_posts,2023-05,1
tedxkobe,posting_frequency,monthly_posts,2023-07,6
tedxkobe,posting_frequency,monthly_posts,2023-08,13
tedxkobe,posting_frequency,monthly_posts,2023-09,12
tedxkobe,posting_frequency,monthly_posts,2023-10,32
tedxkobe,posting_frequency,monthly_posts,2023-11,12
tedxkobe,posting_frequency,monthly_posts,2023-12,3
tedxkobe,posting_frequency,monthly_posts,2024-01,1
tedxkobe,posting_frequency,monthly_posts,2024-02,5
tedxkobe,posting_frequency,monthly_posts,2024-03,2
tedxkobe,posting_frequency,monthly_posts,2024-05,4
tedxkobe,posting_frequency,monthly_posts,2024-07,1
tedxkobe,posting_frequency,monthly_posts,2024-08,6
tedxkobe,posting_frequency,monthly_posts,2024-10,7
tedxkobe,posting_frequency,monthly_posts,2024-11,9
tedxkobe,posting_frequency,monthly_posts,2024-12,19
tedxkobe,posting_frequency,monthly_posts,2025-03,8
tedxkobe,posting_frequency,monthly_posts,2025-04,1
tedxkobe,posting_frequency,monthly_posts,2025-07,1
tedxkobe,posting_frequency,monthly_posts,2025-08,2
tedxkobe,posting_frequency,monthly_posts,2025-11,8
tedxkobe,posting_frequency,monthly_posts,2026-01,4
tedxkobe,posting_frequency,monthly_posts,2026-02,5
tedxkobe,posting_frequency,monthly_posts,2026-03,5
tedxkobe,posting_frequency,monthly_posts,2026-04,4
tedxkobe,posting_frequency,monthly_posts,2026-05,5
tedxhamamatsu,overview,followers,—,1897
tedxhamamatsu,overview,total_posts,—,344
tedxhamamatsu,overview,analyzed_posts,—,200
tedxhamamatsu,overview,avg_engagement_rate,—,1.66
tedxhamamatsu,overview,avg_likes,—,31.42
tedxhamamatsu,overview,avg_comments,—,0.14
tedxhamamatsu,overview,avg_engagement,—,31.56
tedxhamamatsu,overview,max_single_post_engagement,—,273
tedxhamamatsu,overview,comment_like_ratio,—,0.45
tedxhamamatsu,post_type,post_count,photo,110
tedxhamamatsu,post_type,share(%),photo,55.0
tedxhamamatsu,post_type,avg_engagement_rate(%),photo,1.78
tedxhamamatsu,post_type,avg_engagement,photo,33.84
tedxhamamatsu,post_type,post_count,GraphSidecar,87
tedxhamamatsu,post_type,share(%),GraphSidecar,43.5
tedxhamamatsu,post_type,avg_engagement_rate(%),GraphSidecar,1.53
tedxhamamatsu,post_type,avg_engagement,GraphSidecar,28.99
tedxhamamatsu,post_type,post_count,Reel,3
tedxhamamatsu,post_type,share(%),Reel,1.5
tedxhamamatsu,post_type,avg_engagement_rate(%),Reel,1.19
tedxhamamatsu,post_type,avg_engagement,Reel,22.67
tedxhamamatsu,weekday,post_count,Mon,20
tedxhamamatsu,weekday,avg_engagement_rate(%),Mon,1.63
tedxhamamatsu,weekday,post_count,Tue,27
tedxhamamatsu,weekday,avg_engagement_rate(%),Tue,1.88
tedxhamamatsu,weekday,post_count,Wed,22
tedxhamamatsu,weekday,avg_engagement_rate(%),Wed,1.64
tedxhamamatsu,weekday,post_count,Thu,18
tedxhamamatsu,weekday,avg_engagement_rate(%),Thu,2.45
tedxhamamatsu,weekday,post_count,Fri,38
tedxhamamatsu,weekday,avg_engagement_rate(%),Fri,1.58
tedxhamamatsu,weekday,post_count,Sat,35
tedxhamamatsu,weekday,avg_engagement_rate(%),Sat,1.22
tedxhamamatsu,weekday,post_count,Sun,40
tedxhamamatsu,weekday,avg_engagement_rate(%),Sun,1.66
tedxhamamatsu,time_band,post_count,morning(05-10),0
tedxhamamatsu,time_band,avg_engagement_rate(%),morning(05-10),0
tedxhamamatsu,time_band,post_count,midday(11-13),0
tedxhamamatsu,time_band,avg_engagement_rate(%),midday(11-13),0
tedxhamamatsu,time_band,post_count,afternoon(14-17),0
tedxhamamatsu,time_band,avg_engagement_rate(%),afternoon(14-17),0
tedxhamamatsu,time_band,post_count,evening(18-21),0
tedxhamamatsu,time_band,avg_engagement_rate(%),evening(18-21),0
tedxhamamatsu,time_band,post_count,night(22-04),0
tedxhamamatsu,time_band,avg_engagement_rate(%),night(22-04),0
tedxhamamatsu,posting_frequency,active_months,—,51
tedxhamamatsu,posting_frequency,avg_posts_per_month,—,3.92
tedxhamamatsu,posting_frequency,monthly_posts,2019-09,3
tedxhamamatsu,posting_frequency,monthly_posts,2019-12,3
tedxhamamatsu,posting_frequency,monthly_posts,2020-01,3
tedxhamamatsu,posting_frequency,monthly_posts,2020-02,1
tedxhamamatsu,posting_frequency,monthly_posts,2020-03,1
tedxhamamatsu,posting_frequency,monthly_posts,2020-06,1
tedxhamamatsu,posting_frequency,monthly_posts,2020-09,1
tedxhamamatsu,posting_frequency,monthly_posts,2020-10,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-02,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-03,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-04,2
tedxhamamatsu,posting_frequency,monthly_posts,2021-05,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-06,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-07,1
tedxhamamatsu,posting_frequency,monthly_posts,2021-10,3
tedxhamamatsu,posting_frequency,monthly_posts,2021-11,5
tedxhamamatsu,posting_frequency,monthly_posts,2021-12,1
tedxhamamatsu,posting_frequency,monthly_posts,2022-04,1
tedxhamamatsu,posting_frequency,monthly_posts,2022-06,1
tedxhamamatsu,posting_frequency,monthly_posts,2022-09,9
tedxhamamatsu,posting_frequency,monthly_posts,2022-10,10
tedxhamamatsu,posting_frequency,monthly_posts,2022-11,16
tedxhamamatsu,posting_frequency,monthly_posts,2022-12,1
tedxhamamatsu,posting_frequency,monthly_posts,2023-03,2
tedxhamamatsu,posting_frequency,monthly_posts,2023-07,2
tedxhamamatsu,posting_frequency,monthly_posts,2023-08,1
tedxhamamatsu,posting_frequency,monthly_posts,2023-09,1
tedxhamamatsu,posting_frequency,monthly_posts,2024-01,5
tedxhamamatsu,posting_frequency,monthly_posts,2024-02,1
tedxhamamatsu,posting_frequency,monthly_posts,2024-03,6
